file,reason,run_id,kind,n_records,span_s,end_roll_deg,end_pitch_deg,end_z,desc_dt,desc_dz,desc_rate,desc_vz_min,desc_contact_mean
20260903_011358_run2185_dog0_FALL.json,FALL,2185,MIXED,14182,28.36,-20.94,1.9,0.0542,1.046,0.146,0.1396,0.0273,0.1036
20260903_011448_run2186_dog0_FALL.json,FALL,2186,LEVEL,18776,37.55,-0.81,-0.61,0.0304,1.276,0.1709,0.1339,-1.1064,0.0678
20260903_011525_run2187_dog0_FALL.json,FALL,2187,LEVEL,12207,24.41,-1.67,4.1,0.0216,1.19,0.1788,0.1502,-0.2786,0.1571
20260903_011618_run2188_dog0_FALL.json,FALL,2188,TIP,20072,40.14,-30.24,8.4,0.0696,1.154,0.1307,0.1132,-1.031,0.0818
20260903_011657_run2189_dog0_FALL.json,FALL,2189,LEVEL,12644,25.28,-1.72,0.65,0.0208,0.784,0.1793,0.2288,-0.4624,0.199
20260903_011753_run2190_dog0_FALL.json,FALL,2190,TIP,22064,44.12,-25.39,10.75,0.0407,0.928,0.1595,0.1719,-0.0289,0.215
20260903_011851_run2191_dog0_FALL.json,FALL,2191,MIXED,22157,44.31,-16.97,8.01,0.0808,0.834,0.1196,0.1435,-0.2145,0.2409
20260903_012145_run2194_dog0_FALL.json,FALL,2194,LEVEL,12840,25.68,0.76,3.17,0.0149,0.73,0.1858,0.2545,-0.2957,0.2523
20260903_012454_run2197_dog0_FALL.json,FALL,2197,MIXED,22850,45.7,19.59,-0.0,0.027,1.17,0.1737,0.1484,-0.0378,0.1596
20260903_013318_run2205_dog0_FALL.json,FALL,2205,LEVEL,12046,24.09,6.84,-10.01,0.0638,0.9,0.1405,0.1561,-1.0295,0.1426
20260903_013529_run2207_dog0_FALL.json,FALL,2207,LEVEL,16370,32.74,3.29,0.47,0.0345,0.942,0.1684,0.1787,-0.2237,0.1459
20260903_013559_run2208_dog0_FALL.json,FALL,2208,TIP,8619,17.24,-50.23,0.05,0.1164,0.26,0.1027,0.395,-0.1812,0.3364
20260903_013642_run2209_dog0_FALL.json,FALL,2209,LEVEL,15477,30.95,0.16,4.4,0.0227,0.934,0.1785,0.1911,-0.582,0.1778
20260903_013910_run2212_dog0_FALL.json,FALL,2212,TIP,12908,25.81,38.87,13.18,0.0701,0.862,0.1305,0.1513,0.0646,0.346
20260903_014041_run2214_dog0_FALL.json,FALL,2214,LEVEL,12842,25.68,2.87,3.62,0.0112,0.944,0.1896,0.2008,-0.6434,0.1589
20260903_014615_run2217_dog0_FALL.json,FALL,2217,LEVEL,13279,26.55,-4.63,3.17,0.0098,0.818,0.1903,0.2327,-1.5443,0.3352
20260903_014655_run2218_dog0_FALL.json,FALL,2218,LEVEL,13080,26.16,-0.93,2.88,0.0608,0.984,0.14,0.1423,-0.394,0.3775
20260903_014732_run2219_dog0_FALL.json,FALL,2219,LEVEL,11957,23.91,3.99,1.15,0.0294,0.598,0.1718,0.2872,-0.7129,0.2658
20260903_014811_run2220_dog0_FALL.json,FALL,2220,LEVEL,12536,25.07,6.59,4.28,0.0212,0.748,0.1793,0.2397,-0.4204,0.2182
20260903_015132_run2224_dog0_FALL.json,FALL,2224,LEVEL,13067,26.13,-5.81,-2.51,0.0491,0.946,0.1537,0.1625,-0.3643,0.1934
20260903_015210_run2225_dog0_FALL.json,FALL,2225,TIP,12243,24.48,-32.28,-0.32,-0.0033,0.902,0.2045,0.2268,-0.1703,0.2933
20260903_015248_run2226_dog0_FALL.json,FALL,2226,LEVEL,12680,25.36,4.58,5.41,0.0398,0.856,0.1609,0.188,-0.4195,0.3178
20260903_015819_run2229_dog0_FALL.json,FALL,2229,TIP,13501,27.0,31.53,6.84,0.0985,0.938,0.1031,0.1099,-1.7642,0.2366
20260903_015900_run2230_dog0_FALL.json,FALL,2230,TIP,13981,27.96,-36.05,9.06,0.083,0.778,0.1178,0.1514,0.0932,0.3535
20260903_020032_run2232_dog0_FALL.json,FALL,2232,TIP,12775,25.55,37.58,11.52,0.0578,0.946,0.1424,0.1505,-1.5989,0.2209
20260903_020257_run2235_dog0_FALL.json,FALL,2235,LEVEL,12852,25.7,-1.75,-2.85,0.0389,0.774,0.1612,0.2082,-0.5488,0.15
20260903_020429_run2237_dog0_FALL.json,FALL,2237,TIP,13432,26.86,-36.66,13.22,0.0572,1.29,0.1439,0.1115,-0.8487,0.3029
20260903_020507_run2238_dog0_FALL.json,FALL,2238,MIXED,12824,25.64,14.06,11.13,0.0351,0.852,0.1657,0.1945,-0.9903,0.2152
20260903_020545_run2239_dog0_FALL.json,FALL,2239,LEVEL,12919,25.83,-2.03,2.76,0.0167,0.892,0.1835,0.2058,-0.4663,0.2441
20260903_020622_run2240_dog0_FALL.json,FALL,2240,LEVEL,12873,25.74,9.26,1.29,-0.0316,0.864,0.2318,0.2683,-0.244,0.2647
20260903_020700_run2241_dog0_FALL.json,FALL,2241,LEVEL,12783,25.56,5.1,-1.07,0.0364,0.846,0.164,0.1939,-0.8185,0.2859
20260903_020739_run2242_dog0_FALL.json,FALL,2242,MIXED,13295,26.59,-22.79,4.72,0.0893,1.17,0.1115,0.0953,-0.1505,0.2773
20260903_020904_run2244_dog0_FALL.json,FALL,2244,TIP,9092,18.18,-61.23,-0.08,0.1113,0.43,0.1008,0.2345,-0.2487,0.6363
20260903_021757_run2248_dog0_FALL.json,FALL,2248,LEVEL,12039,24.07,-0.65,2.57,0.0449,0.576,0.1559,0.2706,-1.167,0.1182
20260903_021929_run2250_dog0_FALL.json,FALL,2250,LEVEL,12781,25.56,-1.76,-1.63,0.0197,0.962,0.1804,0.1875,-2.2928,0.2283
20260903_022103_run2252_dog0_FALL.json,FALL,2252,LEVEL,14055,28.11,1.29,9.25,0.0559,0.89,0.1448,0.1627,-0.2313,0.3273
